iter	RMSE
0	14.15309497
1	13.29603357
2	12.42770913
3	11.79100936
4	11.14699571
5	10.59831252
6	10.1200666
7	9.654356046
8	9.221939839
9	8.862649643
10	8.507297028
11	8.164525385
12	7.884291793
13	7.597143646
14	7.409940007
15	7.181076837
16	6.979873853
17	6.787840808
18	6.653871479
19	6.522028796
20	6.380182184
21	6.267710945
22	6.162352233
23	6.064319857
24	5.97603983
25	5.915007344
26	5.841794937
27	5.773680852
28	5.718593202
29	5.665967332
30	5.629129899
31	5.586082552
32	5.545914966
33	5.516177721
34	5.479203312
35	5.449483347
36	5.410927773
37	5.384552239
38	5.359959568
39	5.338341978
40	5.318406032
41	5.298475085
42	5.285491646
43	5.268894009
44	5.247713202
45	5.225618259
46	5.197383373
47	5.180065986
48	5.169301033
49	5.158518755
50	5.145077793
51	5.126982318
52	5.116292647
53	5.102991575
54	5.085438361
55	5.073523645
56	5.060961083
57	5.045200174
58	5.034981406
59	5.023354914
60	5.001267574
61	4.999668928
62	4.982510693
63	4.975800527
64	4.967996438
65	4.965173515
66	4.955311259
67	4.946079507
68	4.93740407
69	4.923578276
70	4.915714761
71	4.908564801
72	4.904622216
73	4.895823361
74	4.88891881
75	4.878505002
76	4.866021012
77	4.860185723
78	4.848248798
79	4.837363707
80	4.827441251
81	4.823018957
82	4.813860557
83	4.808759984
84	4.800916168
85	4.797902706
86	4.792585918
87	4.786981517
88	4.782662818
89	4.773464234
90	4.757418158
91	4.746695658
92	4.738825596
93	4.731787385
94	4.726829863
95	4.719563111
96	4.715480837
97	4.705720593
98	4.695022783
99	4.690174638
