iter	Passed	Remaining
0	1	117
1	2	109
2	3	99
3	3	91
4	4	89
5	5	88
6	6	84
7	7	82
8	8	81
9	8	80
10	9	79
11	10	78
12	11	77
13	12	75
14	13	74
15	13	73
16	15	76
17	17	77
18	18	77
19	19	76
20	19	74
21	20	73
22	21	71
23	22	70
24	22	68
25	23	67
26	24	66
27	25	65
28	26	63
29	26	62
30	27	61
31	28	60
32	29	59
33	29	57
34	30	57
35	31	55
36	32	54
37	33	53
38	34	53
39	35	53
40	36	52
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	48	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	52	32
62	53	31
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	67	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	71	11
86	72	10
87	74	10
88	75	9
89	76	8
90	76	7
91	77	6
92	78	5
93	79	5
94	79	4
95	80	3
96	81	2
97	82	1
98	82	0
99	83	0
